[2025-05-27 18:39:08] [INFO    ] discord.client: logging in using static token
[2025-05-27 18:39:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-27 18:39:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-27 18:39:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1375222840340774994', 'username': 'Secretary Kim 2.0', 'avatar': '203937427685ca37c5fb981f7fd96ff5', 'discriminator': '3142', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-27 18:39:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-27 18:39:09] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-27 18:39:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1375222840340774994', 'name': 'Secretary Kim 2.0', 'icon': '203937427685ca37c5fb981f7fd96ff5', 'description': 'Built using Python', 'type': None, 'bot': {'id': '1375222840340774994', 'username': 'Secretary Kim 2.0', 'avatar': '203937427685ca37c5fb981f7fd96ff5', 'discriminator': '3142', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'eaa0415b90740192558741a99569baf5593407e422be89bb1ca7c3ab359286e7', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '284879304582627329', 'username': '.l._.u', 'avatar': 'd847098944f781d84500c79b11976b82', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 16155277, 'global_name': 'mcdonalds apple pie', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#f6828d', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-27 18:39:09] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-27 18:39:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-l5z8",{"micros":0.0}]']}}
[2025-05-27 18:39:09] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-27 18:39:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-27 18:39:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Secretary Kim 2.0', 'primary_guild': None, 'mfa_enabled': True, 'id': '1375222840340774994', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3142', 'clan': None, 'bot': True, 'avatar': '203937427685ca37c5fb981f7fd96ff5'}, 'session_type': 'normal', 'session_id': 'c69f701abbe015510bf125974e119124', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '756340071040417884'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['seattle', 'oregon', 'santa-clara', 'us-west', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1375222840340774994', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-l5z8",{"micros":59062,"calls":["id_created",{"micros":279,"calls":[]},"session_lookup_time",{"micros":1838,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"discord-sessions-prd-2-28",{"micros":55809,"calls":["start_session",{"micros":43867,"calls":["discord-api-rpc-75d8b487ff-crbjd",{"micros":36331,"calls":["get_user",{"micros":8146},"get_guilds",{"micros":4084},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":303},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":937},"apex_user_experiments",{"micros":3},"user_activities",{"micros":2}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":240,"calls":[]},"guilds_started",{"micros":72,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":11581,"calls":[]},"connect_finished",{"micros":11585,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-27 18:39:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-27 18:39:09] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c69f701abbe015510bf125974e119124).
[2025-05-27 18:39:09] [DEBUG   ] discord.client: Dispatching event connect
